EPIC Bible College,4330 Auburn Boulevard,Sacramento,CA,"""95841"""
Episcopal Divinity School,99 Brattle St,Cambridge,MA,"""02138-3494"""
Eric Fisher Academy,6727 West Central,Wichita,KS,"""67212"""
Erie 1 BOCES-Practical Nursing Program,"1526 Walden Avenue, Suite 200",Cheektowaga,NY,"""14225"""
Erie Business Center,246 W Ninth St,Erie,PA,"""16501"""
Erie Community College,121 Ellicott St,Buffalo,NY,"""14203"""
Erie Institute of Technology Inc,940 Millcreek Mall,Erie,PA,"""16565"""
Erikson Institute,451 North LaSalle Street,Chicago,IL,"""60654"""
Erskine College,2 Washington St,Due West,SC,"""29639"""
Essex County College,303 University Ave,Newark,NJ,"""07102"""
Esthetics Institute at Concord Academy,20 S Main St,Concord,NH,"""03301-4809"""
ETI Technical College,2076 Youngstown Warren Rd,Niles,OH,"""44446-4398"""
Eureka College,300 E. College Ave.,Eureka,IL,"""61530"""
Evangel University,1111 N Glenstone,Springfield,MO,"""65802"""
Evangelia University,"2660 W. Woodland Dr., Suite 200",Anaheim,CA,"""92801"""
Evangelical Theological Seminary,121 S College St,Myerstown,PA,"""17067-1299"""
Everblue Training Institute,"16950 Northcross Drive, Suite 100",Huntersville,NC,"""28078"""
Everest College - Alhambra,2215 Mission Rd,Alhambra,CA,"""91803"""
Everest College - Anaheim,"511 North Brookhurst St., Suite 300",Anaheim,CA,"""92801-5229"""
Everest College - Bremerton,"155 Washington Avenue, Suite 200",Bremerton,WA,"""98337"""
Everest College - Burr Ridge,6880 N Frontage Rd-Ste 400,Burr Ridge,IL,"""60527"""
Everest College - Chicago,247 South State Street #400,Chicago,IL,"""60604"""
Everest College - City of Industry,12801 Crossroads Parkway South,City of Industry,CA,"""91746-1023"""
Everest College - Colorado Springs,1815 Jet Wing Drive,Colorado Springs,CO,"""80916"""
Everest College - Gardena,"1045 W. Redondo Beach Boulevard, Suite 275",Gardena,CA,"""90247"""
Everest College - Henderson,170 North Stephanie,Henderson,NV,"""89014"""
Everest College - Los Angeles,3460 Wilshire Blvd Ste 500,Los Angeles,CA,"""90010"""
Everest College - Lynnwood,19020 33rd Ave W-Ste 250,Lynnwood,WA,"""98036"""
Everest College - Newport News,803 Diligence Drive,Newport News,VA,"""23606"""
Everest College - North Aurora,"150 South Lincolnway, Suite 100",North Aurora,IL,"""60542"""
Everest College - Ontario,1460 S. Milliken Ave,Ontario,CA,"""91761-2338"""
Everest College - Phoenix,"10400 N. 25th Avenue, Suite 190",Phoenix,AZ,"""85021"""
Everest College - Portland,425 SW Washington,Portland,OR,"""97204-2296"""
Everest College - Renton,"981 Powell Avenue, SW, Suite 200",Renton,WA,"""98055"""
Everest College - Reseda,"18040 Sherman Way, Suite 400",Reseda,CA,"""91335"""
Everest College - Salt Lake City,3280 West 3500 South,West Valley City,UT,"""84119"""
Everest College - San Bernardino,"217 Club Center Drive, Ste. A",San Bernardino,CA,"""92408"""
Everest College - Seattle,"2111 North Northgate Way, Suite 218",Seattle,WA,"""98133"""
Everest College - Skokie,9811 Woods Drive,Skokie,IL,"""60077-1074"""
Everest College - Springfield,1010 West Sunshine,Springfield,MO,"""65807"""
Everest College - Thornton,9065 Grant St,Thornton,CO,"""80229"""
Everest College - Torrance,1231 Cabrillo Ave Ste 201,Torrance,CA,"""90501"""
Everest Institute - Austin,"9100 US Hwy 290 East, Bldg 1-Ste 100",Austin,TX,"""78754"""
Everest Institute - Brighton,1505 Commonwealth Ave,Brighton,MA,"""02135-3605"""
Everest Institute - Chelsea,70 Everett Ave - 4th Floor,Chelsea,MA,"""02150"""
Everest Institute - Cross Lanes,5514 Big Tyler Road,Cross Lanes,WV,"""25313"""
Everest Institute - Dearborn,23400 Michigan Ave - Ste 200,Dearborn,MI,"""48124"""
Everest Institute - Detroit,"300 River Place Drive, Suite 1000",Detroit,MI,"""48207-4291"""
Everest Institute - Eagan,"1000 Blue Gentian Road, Suite 250",Eagan,MN,"""55121-1696"""
Everest Institute - Gahanna,825 Tech Center Drive,Gahanna,OH,"""43230"""
Everest Institute - Grand Rapids,1750 Woodworth St NE,Grand Rapids,MI,"""49525"""
Everest Institute - Hayward,22336 Main Street,Hayward,CA,"""94541"""
Everest Institute - Houston,"255 Northpoint, Suite 100",Houston,TX,"""77060"""
Everest Institute - Pittsburgh,"100 Forbes Ave, Suite 1200",Pittsburgh,PA,"""15222-1320"""
Everest Institute - Rochester,1630 Portland Ave,Rochester,NY,"""14621-3007"""
Everest Institute - San Antonio,6550 First Park Ten,San Antonio,TX,"""78213"""
Everest Institute - San Francisco,"814 Mission Street,  Suite 500",San Francisco,CA,"""94103-9946"""
Everest Institute - San Jose,1245 South Winchester Blvd #102,San Jose,CA,"""95128"""
Everest Institute - South Plainfield,"50000 Hadley Road, Suite 100",South Plainfield,NJ,"""07080"""
Everest Institute - Southfield,21107 Lahser Road,Southfield,MI,"""48033"""
Everest University - North Orlando,5421 Diplomat Circle,Orlando,FL,"""32810"""
Everest University - Pinellas,2471 McMullen Booth Road,Clearwater,FL,"""33759-1354"""
Everett Community College,2000 Tower Street,Everett,WA,"""98201"""
Everglades University,"5002 T-Rex Avenue, Suite 100",Boca Raton,FL,"""33431"""
Everglades University - Orlando,5600 Lake Underhill Road,Orlando,FL,"""32807"""
Everglades University - Sarasota,"6151 Lake Osprey Drive, Suite #200",Sarasota,FL,"""34240"""
Evergreen Valley College,3095 Yerba Buena Rd,San Jose,CA,"""95135-1598"""
Ex'pression College for Digital Arts,6601 Shellmound St,Emeryville,CA,"""94608"""
Excel Learning Center,1605 George Dieter Bldg. 100,El Paso,TX,"""79936"""
Excel Learning Center - San Antonio North,"3201 Cherry Ridge Drive, Suite B200",San Antonio,TX,"""78238"""
Excelsior College,7 Columbia Cir,Albany,NY,"""12203-5159"""
Fairfield University,1073 N Benson Rd,Fairfield,CT,"""06824-5195"""
Fairleigh Dickinson University,1000 River Road,Teaneck,NJ,"""07666"""
Fairmont State University,1201 Locust Ave,Fairmont,WV,"""26554-2470"""
Fairview Academy,22610 Lorain Road,Fairview Park,OH,"""44126"""
Faith Baptist Bible College and Theological Seminary,1900 NW 4th St,Ankeny,IA,"""50023-2152"""
Faith Evangelical College & Seminary,3504 N Pearl St,Tacoma,WA,"""98407-0186"""
Faith Theological Seminary,529 Walker Avenue,Baltimore,MD,"""21212"""
Family of Faith College,30 Kinville,Shawnee,OK,"""74804"""
Faris Computer School,1119 Kent Avenue,Nederland,TX,"""77627"""
Fashion Design Training Center,"38268 6th Street, East",Palmdale,CA,"""93550"""
Fashion Institute of Design and Merchandising,919 South Grand Avenue,Los Angeles,CA,"""90015-1421"""
Fashion Institute of Technology,Seventh Avenue At 27th Street,New York,NY,"""10001-5992"""
Faulkner University,5345 Atlanta Hwy,Montgomery,AL,"""36109-3378"""
Faxton-St Luke's Healthcare School of Radiologic Technology,Champlin Rd,Utica,NY,"""13503-0479"""
Fayette County Area Vocational Technical School of Practical Nursing,175 Georges Fairchance Rd,Uniontown,PA,"""15401"""
Fayetteville State University,1200 Murchison Rd,Fayetteville,NC,"""28301-4298"""
Fayetteville Technical Community College,2201 Hull Rd,Fayetteville,NC,"""28303-0236"""
Feather River College,570 Golden Eagle Ave,Quincy,CA,"""95971-9124"""
Federal Correctional Institution Education Department of F.C.I.,501 Capital Circle NE,Tallahassee,FL,"""32301"""
Federal Medical Center - Lexington,3301 Leestown Road,Lexington,KY,"""40511-8799"""
"Federico Career Colleges of Bakersfield, Inc.","3015 Calloway Drive, Suite #6",Bakersfield,CA,"""93312"""
Felbry School of Nursing,6055 Cleveland Avenue,Columbus,OH,"""43231"""
Felician College,262 S Main St,Lodi,NJ,"""07644"""
Ferris State University,1201 S. State Street,Big Rapids,MI,"""49307"""
Ferrum College,215 Ferrum Mountain Road,Ferrum,VA,"""24088-9000"""
Fielding Graduate University,2112 Santa Barbara St,Santa Barbara,CA,"""93105"""
Fine Mortuary College,150 Kerry Place,Norwood,MA,"""02062"""
Finger Lakes Community College,3325 Marvin Sands Drive,Canandaigua,NY,"""14424-8395"""
Finlandia University,601 Quincy St,Hancock,MI,"""49930-1882"""
First Coast Technical College,2980 Collins Ave,St Augustine,FL,"""32084-1921"""
First Institute Inc,790 McHenry Ave,Crystal Lake,IL,"""60014"""
First Institute Inc - Aurora,"One Smoke Tree Plaza, Ste C",Aurora,IL,"""60542"""
Fisher College,118 Beacon St,Boston,MA,"""02116"""
Fisk University,1000 17th Ave N,Nashville,TN,"""37208-4501"""
Fitchburg State University,160 Pearl St,Fitchburg,MA,"""01420-2697"""
"Five Branches University:  Graduate School of Traditional Chinese Medicine - San Jose, CA","3031 Tisch Way, Suite 605",San Jose,CA,"""95128"""
"Five Branches University:  Graduate School of Traditional Chinese Medicine - Santa Cruz, CA",200 7th Avenue,Santa Cruz,CA,"""95062"""
Five Towns College,305 North Service Road,Dix Hills,NY,"""11746-5871"""
Flagler College,74 King Street,Saint Augustine,FL,"""32084"""
Flathead Valley Community College,777 Grandview Dr,Kalispell,MT,"""59901"""
Flatwoods Civilian Conservation Center,2803 Dungannon Road,Coeburn,VA,"""24230"""
FlightSafety Academy,"2805 Airport Drive, P.O. Box 2708",Vero Beach,FL,"""32961"""
Flint Hills Technical College,3301 W. 18th Ave.,Emporia,KS,"""66801"""
Flint River Technical College,1533 Hwy 19 S,Thomaston,GA,"""30286-4752"""
Florence School District #1 Montessori Teacher Program (AMS),319 S. Dargan Street,Florence,SC,"""29506"""
Florence-Darlington Technical College,2715 W. Lucas Street,Florence,SC,"""29501-0548"""
Florida Academy,4387 Colonial Blvd.,Fort Myers,FL,"""33966"""
Florida Agricultural and Mechanical University,1668 South Martin Luther King Jr. Boulevard,Tallahassee,FL,"""32307"""
Florida Atlantic University,777 Glades Rd,Boca Raton,FL,"""33431-0991"""
Florida Career College - Miami,"1321 S.W. 107 Avenue, Suite 201B",Miami,FL,"""33174"""
Florida Center for Theological Studies,"111 NE First Street, 8th Floor",Miami,FL,"""33132"""
Florida Christian College,1011 Bill Beck Blvd,Kissimmee,FL,"""34744"""
Florida Coastal School of Law,8787 Baypine Road,Jacksonville,FL,"""32256"""
Florida College,119 N Glen Arven Ave,Temple Terrace,FL,"""33617-5578"""
Florida College of Integrative Medicine,7100 Lake Ellenor Drive,Orlando,FL,"""32809-5721"""
Florida College of Natural Health,2001 W Sample Rd Ste 100,Pompano Beach,FL,"""33064"""
Florida Education Center - Lauderhill,1299B NW 40th Avenue,Lauderhill,FL,"""33313"""
Florida Education Institute,5818 SW 8th St,Miami,FL,"""33144"""
Florida Gateway College,149 SE College Place,Lake City,FL,"""32025"""
Florida Gulf Coast University,10501 FGCU Blvd South,Fort Myers,FL,"""33965-6565"""
Florida Institute of Animal Arts,3776 Howell Branch Road,Winter Park,FL,"""32792"""
Florida Institute of Montessori Studies (AMS),1240 Banana River Dr.,Indian Harbour Beach,FL,"""32937"""
"Florida Institute of Recording, Sound and Technology, Inc.",2309 Silver Star Road,Orlando,FL,"""32804"""
Florida Institute of Technology-Melbourne,150 West University Boulevard,Melbourne,FL,"""32901-6975"""
Florida Institute of Ultrasound,"8800 University Parkway, Suite A4",Pensacola,FL,"""32514"""
Florida International Training Institute,"9300 NW 25 St, Suite 207",Miami,FL,"""33172"""
Florida International University,11200 SW 8th Street,Miami,FL,"""33199"""
Florida Keys Community College,5901 College Road,Key West,FL,"""33040"""
Florida Medical Training Institute - Melbourne,478 Ballard Drive,Melbourne,FL,"""32935"""
Florida Memorial University,15800 NW 42 Ave,Miami Gardens,FL,"""33054-6199"""
Florida National University,4425 West 20 Avenue,Hialeah,FL,"""33012"""
Florida School of Traditional Midwifery,810 E. University Avenue,Gainesville,FL,"""32601"""
Florida Southern College,111 Lake Hollingsworth Drive,Lakeland,FL,"""33801-5698"""
Florida State College at Jacksonville,501 W State St,Jacksonville,FL,"""32202"""
Florida State University,211 Westcott Bldg,Tallahassee,FL,"""32306-1037"""
Florida Technical College,"1111 North Westshore Boulevard, Suite 110",Tampa,FL,"""33607"""
FLS International - Pasadena,"301 North lake Avenue, Suite 310",Pasadena,CA,"""91101"""
Focus Personal Training Institute,"115 West 27th Street, 11th Floor",New York,NY,"""10001"""
Focus: HOPE Information Technologies Center,1400 Oakman Boulevard,Detroit,MI,"""48238"""
"Folkner Training Associates, Inc. Dale Carnegie Training","8641 Baypine Road, Suite 2",Jacksonville,FL,
Folsom Lake College,10 College Parkway,Folsom,CA,"""95630"""
Fond du Lac Tribal and Community College,2101 14th St,Cloquet,MN,"""55720"""
Fontbonne University,6800 Wydown Blvd,St. Louis,MO,"""63105-3098"""
Foothill College,12345 El Monte Rd,Los Altos Hills,CA,"""94022"""
Forbes Road Career and Technology Center,607 Beatty Road,Monroeville,PA,"""15146"""
Fordham University,441 E Fordham Rd,Bronx,NY,"""10458"""
Forest Institute of Professional Psychology,2885 W. Battlefield,Springfield,MO,"""65807"""
Forrest College,601 East River Street,Anderson,SC,"""29624-2405"""
Forsyth Technical Community College,2100 Silas Creek Pky,Winston Salem,NC,"""27103-5197"""
Fort Belknap College,Hwys 2 & 66,Harlem,MT,"""59526-0159"""
Fort Berthold Community College,220 8th Ave. N,New Town,ND,"""58763"""
Fort Hays State University,600 Park Street,Hays,KS,"""67601"""
Fort Lewis College,1000 Rim Drive,Durango,CO,"""81301-3999"""
Fort Myers Institute of Technology,3800 Michigan Ave,Fort Myers,FL,"""33916"""
Fort Peck Community College,605 Indian Street,Poplar,MT,"""59255"""
Fort Scott Community College,2108 S Horton,Fort Scott,KS,"""66701"""
Fort Valley State University,1005 State University Dr,Fort Valley,GA,"""31030-4313"""
Fortis College,1201 West Oaks mall,Houston,TX,"""77082"""
Fortis College - Centerville,555 E Alex Bell Road,Centerville,OH,"""45459-2712"""
Fortis College - Foley,200 E. Laurel Avenue,Foley,AL,"""36535"""
Fortis College - Indianapolis,9001 N. Wesleyan Road,Indianapolis,IN,"""46268"""
Fortis College - Largo,6565 Ulmerton Road,Largo,FL,"""33771"""
Fortis College - Mobile,3590 Pleasant Valley Road,Mobile,AL,"""36609"""
Fortis College - Norfolk,"6300 Center Drive, Suite 100",Norfolk,VA,"""23502"""
Fortis College - Orange Park,560 Wells Road,Orange Park,FL,"""32073"""
Fortis College - Phoenix,555 North 18th Street,Phoenix,AZ,"""85006"""
Fortis College - Salt Lake City,"3949 South 700 East, Suite 150",Salt Lake City,UT,"""84107"""
Fortis College- Winter Park,1573 W. Fairbanks Ave,Winter Park,FL,"""32789"""
Fortis Institute - Cookeville,1025 Highway 111,Cookeville,TN,"""38501"""
Fortis Institute - Erie,5757 West 26th Street,Erie,PA,"""16506-1013"""
Fortis Institute - Forty Fort,166 Slocum Street,Forty Fort,PA,"""18704-2936"""
Fortis Institute - Mulberry,"5925 Imperial Parkway, Suite 200",Mulberry,FL,"""33860"""
Fortis Institute - Scranton,517 Ash Street,Scranton,PA,"""18509-2903"""
Fountainhead College of Technology,3203 Tazewell Pke,Knoxville,TN,"""37918"""
Fountainhead Montessori Adult Education (AMS),115 Estates Drive,Danville,CA,"""94526"""
Four-D College - Colton,1020 East Washington Street,Colton,CA,"""92324"""
Fox College Inc,4201 W 93rd St,Oak Lawn,IL,"""60453"""
Fox Valley Technical College,1825 N Bluemound Dr,Appleton,WI,"""54912-2277"""
Framingham State University,100 State St,Framingham,MA,"""01701-9101"""
Francis Marion University,4822 East Palmetto Street,Florence,SC,"""29506"""
Francis Tuttle Technology Center,12777 N Rockwell Ave,Oklahoma City,OK,"""73142-2789"""
Franciscan School of Theology,"Old Mission San Luis Rey, 4050 Mission Avenue",Oceanside,CA,"""92057"""
Franciscan University of Steubenville,1235 University Blvd,Steubenville,OH,"""43952-1763"""
Frank Lloyd Wright School of Architecture,"Taliesin West, P.O. Box 4430",Scottsdale,AZ,"""85261"""
Frank Phillips College,1301 W. Roosevelt St.,Borger,TX,"""79008-5118"""
Franklin Academy,"1605 Professional Park, NW",Cleveland,TN,"""37312"""
Franklin and Marshall College,College Ave,Lancaster,PA,"""17604-3003"""
"Franklin Career Colleges, Inc. - Inglewood",111 N. La Brea Suite 100,Inglewood,CA,"""90301"""
"Franklin Career Colleges, Inc. - Ontario",1274 Slater Circle,Ontario,CA,"""91761"""
"Franklin Career Colleges, Inc. - Van Nuys",6850 Van Nuys Blvd. Suite 213,Van Nuys,CA,"""91405"""
Franklin Career Institute,"91 North Franklin Street, #300",Hempstead,NY,"""11550"""
Franklin College,101 Branigin Blvd,Franklin,IN,"""46131-2623"""
Franklin College of Court Reporting,1200 S. Clearview Pkwy,New Orleans,LA,
Franklin Pierce Law Center,Two White St,Concord,NH,"""03301-4197"""
Franklin Pierce University,20 College Rd,Rindge,NH,"""03461-0060"""
Franklin Technology Center,3950 E. Newman Road,Joplin,MO,"""64801-1595"""
Franklin University,201 S Grant Ave,Columbus,OH,"""43215-5399"""
Franklin W. Olin College of Engineering,Olin Way,Needham,MA,"""02492-1200"""
Frederick Community College,7932 Opossumtown Pike,Frederick,MD,"""21702-2964"""
Freed-Hardeman University,158 E Main St,Henderson,TN,"""38340-2399"""
Fremont College,"3440 Wilshire Boulevard, Suite 1000",Los Angeles,CA,"""90005"""
Fremont College - Cerritos,"18000 Studebaker Road, 9th Floor",Cerritos,CA,"""90703"""
Fresno City College,1101 E. University Ave,Fresno,CA,"""93741"""
Fresno Pacific University,1717 S. Chestnut Ave.,Fresno,CA,"""93702-4709"""
Friends University,2100 W. University Ave.,Wichita,KS,"""67213"""
Front Range Community College,3645 W 112th Ave,Westminster,CO,"""80031"""
Frontier Nursing University,195 School Street,Hyden,KY,"""41749"""
Frostburg State University,101 Braddock Road,Frostburg,MD,"""21532-1099"""
Full Sail University,3300 University Blvd,Winter Park,FL,"""32792-7429"""
Fuller Theological Seminary,135 N Oakland Ave,Pasadena,CA,"""91182"""
Fullerton College,321 E Chapman Avenue,Fullerton,CA,"""92832-2095"""
Fulton-Montgomery Community College,2805 State Hwy 67,Johnstown,NY,"""12095-3790"""
Furman University,3300 Poinsett Highway,Greenville,SC,"""29613-6162"""
Futura Career Institute,4512 West 12th Avenue,Hialeah,FL,"""33012"""
Future Generations Graduate School,HC 73 Box 100 North Mountain,Franklin,WV,"""26807"""
Future Tech Institute,"3446 8th Street, Suite 213",Miami,FL,"""33135"""
"G. Mitchell Hartman & Associates, Inc. Dale Carnegie Training",155 Route 46 West,Wayne,NJ,
Gadsden Business College,3225 Rainbow Drive Suite 246,Rainbow City,AL,"""35906"""
Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,"""35902-0227"""
Gainesville State College,3820 Mundy Mill Rd,Oakwood,GA,"""30566"""
Galaxy Medical College,"6400 Laurel Canyon Road, Suite 270",North Hollywood,CA,"""91606"""
Galen College of Medical and Dental Assistants,1604 Ford Ave,Modesto,CA,"""95350"""
Galen College of Nursing,1031 Zorn Avenue,Louisville,KY,"""40206"""
Gallaudet University,"800 Florida Ave, NE",Washington,DC,"""20002-3695"""
Gallipolis Career College,"1176 Jackson Pke, Suite 312",Gallipolis,OH,"""45631-2600"""
Galveston College,4015 Ave Q,Galveston,TX,"""77550-7496"""
Gannon University,109 W Sixth St,Erie,PA,"""16541"""
Garden City Community College,801 Campus Dr,Garden City,KS,"""67846-6333"""
Gardner-Webb University,110 South Main Street,Boiling Springs,NC,"""28017-0997"""
Garrett College,687 Mosser Rd,McHenry,MD,"""21541"""
Garrett-Evangelical Theological Seminary,2121 Sheridan Rd,Evanston,IL,"""60201-3298"""
Gary Manuel Aveda Institute,1514 Tenth Avenue,Seattle,WA,"""98122"""
Gaston College,201 Hwy 321 S,Dallas,NC,"""28034"""
Gateway Community and Technical College,1025 Amsterdam Rd,Covington,KY,"""41011"""
Gateway Community College,60 Sargent Dr,New Haven,CT,"""06511"""
Gateway Technical College,3520 30th Ave,Kenosha,WI,"""53144-1690"""
Gavilan College,5055 Santa Teresa Blvd,Gilroy,CA,"""95020"""
GDS Institute,7916 Long Beach Boulevard,South Gate,CA,"""90280"""
GECAC Training Institute,1006 W 10th St,Erie,PA,"""16502"""
Gem City College,700 State St,Quincy,IL,"""62301"""
Gemini School of Visual Arts & Communication,501 Prize Oaks Drive,Cedar Park,TX,"""78613"""
Gemological Institute of America,5345 Armada Dr,Carlsbad,CA,"""92008"""
Gemological Institute of America-Los Angeles,"600 Corporate Pointe, Suite 100",Culver City,CA,"""90230-7616"""
Gemological Institute of America-New York,270 Madison Avenue 2nd Floor,New York,NY,"""10016-0601"""
Genesee Community College,One College Rd,Batavia,NY,"""14020"""
Genesis Career College,1505 Noah Court,Lebanon,TN,"""37087"""
Genesis Career College - Cookeville,880-A East 10th Street,Cookeville,TN,"""38501-1907"""
Geneva College,3200 College Ave,Beaver Falls,PA,"""15010-3599"""
George C Wallace Community College - Dothan,1141 Wallace Drive,Dothan,AL,"""36303-9234"""
George Corley Wallace State Community College - Selma,3000 Earl Goodwin Parkway,Selma,AL,"""36703-2808"""
George Fox University,414 N Meridian St,Newberg,OR,"""97132"""
George Mason University,4400 University Dr,Fairfax,VA,"""22030-4444"""
George T Baker Aviation School,3275 NW 42nd Ave,Miami,FL,"""33142"""
George W. Truett Theological Seminary of Baylor University,1100 S. 3rd Street,WACO,TX,
George Washington University,"2121 I Street, NW",Washington,DC,"""20052"""
Georgetown College,400 East College Street,Georgetown,KY,"""40324"""
Georgetown University,37th and O St NW,Washington,DC,"""20057"""
Georgia Aviation & Technical College,71 Airport Rd - Heart of Georgia Regional Airport,Eastman,GA,"""31023"""
Georgia Career Institute,900 Flat Shoals Road,Conyers,GA,"""30013"""
Georgia Christian University,6789 Peachtree Industrial Blvd.,Atlanta,GA,"""30360"""
Georgia College and State University,231 W Hancock Street,Milledgeville,GA,"""31061"""
Georgia Driving Academy,"1449 V.F.W. Drive, SW",Conyers,GA,"""30012"""
Georgia Gwinnett College,1000 University Center Lane,Lawrenceville,GA,"""30043"""
Georgia Health Sciences University,1120 Fifteenth Street,Augusta,GA,"""30912"""
Georgia Highlands College,"3175 Cedartown Highway, S.E.",Rome,GA,"""30161-3897"""
Georgia Institute of Technology - Main Campus,"225 North Avenue, N.W.",Atlanta,GA,"""30332"""
Georgia Medical Institute,1750 Beaver Ruin Rd-Ste 500,Norcross,GA,"""30093"""
Georgia Medical Institute-Dekalb,1706 Northeast Expressway,Atlanta,GA,"""30329"""
Georgia Military College-Milledgeville Campus,201 E Greene St,Milledgeville,GA,"""31061-3398"""
Georgia Northwestern Technical College - Floyd County Campus,One Maurice Culberson Dr,Rome,GA,"""30161"""
Georgia Perimeter College,3251 Panthersville Rd,Decatur,GA,"""30034-3832"""
Georgia Piedmont Technical College,495 N Indian Creek Dr,Clarkston,GA,"""30021-2397"""
Georgia Regents University,1120 Fifteenth Street,Augusta,GA,"""30912"""
Georgia Southern University,Hwy 301 S,Statesboro,GA,"""30460"""
Georgia Southwestern State University,800 Georgia Southwestern State University Dr.,Americus,GA,"""31709-4693"""
Georgia State University,33 Gilmer St SE,Atlanta,GA,"""30302-3083"""
Georgian Court University,900 Lakewood Ave,Lakewood,NJ,"""08701-2697"""
GEOS English Academy,"350 Fifth Avenue, Suite 612",New York,NY,
GEOS Language Academy,"350 Fifth Avenue, Suite 612",New York,NY,
Germanna Community College,2130 Germanna Highway,Locust Grove,VA,"""22508-2102"""
Gettysburg College,300 N Washington St,Gettysburg,PA,"""17325-1486"""
Glen Oaks Community College,62249 Shimmel Rd,Centreville,MI,"""49032-9719"""
Glendale Career College,1015 Grandview Avenue,Glendale,CA,"""91201"""
Glendale Community College,1500 N Verdugo Rd,Glendale,CA,"""91208-2894"""
Glenville State College,200 High Street,Glenville,WV,"""26351"""
Global Health College,25 South Quaker Lane,Alexandria,VA,"""22314"""
Global Language Institute at College of St. Scholastica,"340 Cedar Street, Suite 25",St. Paul,MN,"""55101"""
Global University,1211 South Glenstone Avenue,Springfield,MO,"""65804"""
Global Village,"1440 Kapiolani Blvd., Suite 1100",Honolulu,HI,"""96814"""
Globe Institute of Technology,291 Broadway,New York,NY,"""10007"""
Globe University,8089 Globe Drive,Woodbury,MN,"""55125"""
Gloria Francis School of Make-Up Artistry,2 Nelson Avenue,Hicksville,NY,"""11801"""
Gloucester County College,1400 Tanyard Road,Sewell,NJ,"""08080"""
Gnomon School of Visual Effects,"1015 North Cahuenga Boulevard, Suite 5430i",Hollywood,CA,"""90038"""
God's Bible School and College,1810 Young Street,Cincinnati,OH,"""45202-6838"""
Goddard College,123 Pitkin Road,Plainfield,VT,"""05667-9432"""
Gogebic Community College,E 4946 Jackson Rd,Ironwood,MI,"""49938"""
Golden Gate Baptist Theological Seminary,201 Seminary Drive,Mill Valley,CA,"""94941-3197"""
"Golden Gate Language School, Inc.","591 West Hamilton Avenue, Suite 101",Campbell,CA,
Golden Gate University-San Francisco,536 Mission Street,San Francisco,CA,"""94105-2968"""
Golden State College,"300 Cahaba Park Circle, Suite 118",Birmingham,AL,
Golden State College of Court Reporting and Captioning,"7901 Stoneridge Drive, Suite 105",Pleasanton,CA,"""94588"""
Golden West College,15744 Golden West,Huntington Beach,CA,"""92647-2710"""
Goldey-Beacom College,4701 Limestone Rd,Wilmington,DE,"""19808"""
Goldfarb School of Nursing at Barnes-Jewish College,306 S Kingshighway Blvd,St. Louis,MO,"""63110-1090"""
Golf Academy of America,45-550 Kionaole Road,Kaneohe,HI,"""96744"""
Gonzaga University,E 502 Boone Ave,Spokane,WA,"""99258-0001"""
Good Careers Academy,12332 IH-10 West,San Antonio,TX,"""78230"""
Good Samaritan College of Nursing and Health Science,375 Dixmyth Avenue,Cincinnati,OH,"""45220-2489"""
Good Samaritan Hospital,375 Dixmyth Avenue,Cincinnati,OH,"""45220-2489"""
Goodwin College,One Riverside Drive,East Hartford,CT,"""06118"""
Gordon College,255 Grapevine Rd,Wenham,MA,"""01984"""
Gordon Cooper Technology Center,1 John C Bruton Blvd,Shawnee,OK,"""74804"""
Gordon State College,419 College Dr,Barnesville,GA,"""30204"""
Gordon-Conwell Theological Seminary,130 Essex St,South Hamilton,MA,"""01982"""
Goshen College,1700 S Main St,Goshen,IN,"""46526-4794"""
Goucher College,1021 Dulaney Valley Road,Baltimore,MD,"""21204-2794"""
Gould?s Academy,"1203 Ridgeway Road, Suite 203",Memphis,TN,"""38119"""
Governors State University,1 University Parkway,University Park,IL,"""60466-0975"""
Grace Bible College,1011 Aldon SW,Grand Rapids,MI,"""49509"""
Grace College and Seminary,200 Seminary Dr.,Winona Lake,IN,"""46590"""
Grace College of Divinity,5117 Cliffdale Road,Fayetteville,NC,"""28314"""
Grace Communion Seminary,2011 E. Financial Way,Glendora,CA,"""91740-0730"""
Grace Mission University,1645 W. Valencia Dr.,Fullerton,CA,"""92833"""
Grace School of Theology,3705 College Park Drive,The Woodlands,TX,"""77384"""
Grace University,1311 S 9th St,Omaha,NE,"""68108-3629"""
Graceland University,1 University Place,Lamoni,IA,"""50140"""
Graduate Institute of Applied Linguistics,7500 West Camp Wisdom Road,Dallas,TX,"""75236"""
Graduate Theological Union,2400 Ridge Rd,Berkeley,CA,"""94709"""
Grady Health System Professional Schools,"80 Jesse Hill Jr Drive, SE",Atlanta,GA,"""30303-3050"""
Grambling State University,403 Main Street,Grambling,LA,"""71245"""
Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,"""85017"""
Grand Rapids Community College,143 Bostwick Ave NE,Grand Rapids,MI,"""49503-3295"""
Grand Valley State University,1 Campus Dr,Allendale,MI,"""49401-9403"""
Grand View University,1200 Grandview Ave,Des Moines,IA,"""50316"""
Granite State College,8 Old Suncook Road,Concord,NH,"""03301-7317"""
Grantham University,7200 NW 86th St,Kansas City,MO,"""64153"""
Gratz College,7605 Old York Rd,Melrose Park,PA,"""19027-3010"""
