Crown College|MN
Crown College|TN
Cuesta College|CA
Cultural Center for Language Studies|FL
Culver-Stockton College|MO
Cumberland County College|NJ
Cumberland University|TN
Curry College|MA
Curtis Institute of Music|PA
Cuyahoga Community College|OH
Cuyamaca College|CA
CVPH Medical Center School of Radiologic Technology|NY
Cybertex Institute of Technology|TX
Cypress College|CA
Cypress Creek Emergency Medical Services|TX
D.A. Dorsey Educational Center|FL
D.G. Erwin Technical Center|FL
Dabney S Lancaster Community College|VA
Dade Medical College - Miami|FL
Daemen College|NY
Dakota College at Bottineau|ND
Dakota County Technical College|MN
Dakota State University|SD
Dakota Wesleyan University|SD
Dale Carnegie Kentuckiana|KY
Dale Carnegie Maine|ME
Dale Carnegie of Georgia|GA
Dale Carnegie of Montana and NW Wyoming PDG Solutions|MT
Dale Carnegie of Northeast Ohio|OH
Dale Carnegie of San Joaquin|CA
Dale Carnegie Systems|NV
Dale Carnegie Training|CO
Dale Carnegie Training of Central and Eastern North Carolina|NC
Dale Carnegie Training of Central California|CA
Dale Carnegie Training of Central New Jersey|NJ
Dale Carnegie Training of Central Ohio|OH
Dale Carnegie Training of Greater Cincinnati|OH
Dale Carnegie Training of Long Island|NY
Dale Carnegie Training of Los Angeles|CA
Dale Carnegie Training of Northwest Ohio and Northern Indiana|OH
Dale Carnegie Training of South Carolina , LLC|SC
Dale Carnegie Training of Southern New Jersey|NJ
Dale Carnegie Training of the Bay Area|CA
Dale Carnegie Training of Western Conecticut|CT
Dallas Baptist University|TX
Dallas Christian College|TX
Dallas County Technical Center|MO
Dallas Institute of Funeral Service|TX
Dallas Montessori Teacher Education Program (AMS)|TX
Dallas Nursing Institute|TX
Dallas Theological Seminary|TX
Dalton State College|GA
Dance Theatre of Harlem, Inc.|NY
Daniel Webster College|NH
Danville Area Community College|IL
Danville Community College|VA
Danville Regional Medical Center School of Health Professions|VA
Daoist Traditions College of Chinese Medical Arts|NC
Dartmouth College|NH
Darton State College|GA
Dauphin County Technical School|PA
Davenport University|MI
David L. Carrasco Job Corps Center|TX
David L. Pals & Associates, Inc. Dale Carnegie Training|MT
Davidson College|NC
Davidson County Community College|NC
Davis & Elkins College|WV
Davis Applied Technology College|UT
Davis College|NY
Davis College|OH
Dawn Career Institute|DE
Dawson Community College|MT
Daymar College - Chillicothe|OH
Daymar College - Owensboro|KY
Daymar College - Paducah|KY
Daymar College-Louisville|KY
Daymar Institute - Clarksville|TN
Daytona College|FL
Daytona State College|FL
DCI Career Institute|PA
De Anza College|CA
Dean College|MA
Dean Institute of Technology|PA
Deep Creek Construction School|CA
Deep Muscle Therapy School|DE
Deep Springs College|CA
Defense Acquisition University|VA
Defense Commissary Agency|VA
Defense Contract Audit Institute|TN
Defense Cyber Investigations Training Academy|MD
Defense Equal Opportunity Management Institute|FL
Defense Information School|MD
Defense Institute of Security Assistance Management|OH
Defense Language Institute|CA
Defense Security Service Academy|MD
Defiance College|OH
Del Mar College|TX
Delaware College of Art and Design|DE
Delaware County Community College|PA
Delaware Institute for Montessori Education|DE
Delaware State University|DE
Delaware Technical and Community College - Owens|DE
Delaware Technical and Community College - Stanton-Wilmington|DE
Delaware Technical and Community College - Terry|DE
Delaware Valley College|PA
Delgado Community College|LA
Dell'Arte International School of Physical Theatre|CA
Delta College|LA
Delta College|MI
Delta College of Arts & Technology|LA
Delta College of Arts & Technology - Lafayette|LA
Delta Montrose Technical College|CO
Delta School of Business and Technology|LA
Delta State University|MS
Delta Technical College|MS
Delta Training Academy|LA
Denison University|OH
Denmark Technical College|SC
Denver School of Nursing|CO
Denver Seminary|CO
DePaul University|IL
DePauw University|IN
Derech Ayson Rabbinical Seminary|NY
Dermal Science International Aesthetics & Nail Academy|VA
Dermalogica Academy|NY
Des Moines Area Community College|IA
Des Moines University - Osteopathic Medical Center|IA
DeSales University|PA
Design Institute of San Diego|CA
Detroit Business Institute - Downriver|MI
DeVry University|IL
Dewey University - Hato Rey Campus|PR
Diablo Valley College|CA
Dialysis Training Institute, LLC|CA
Diamond Council of America|TN
Dickinson College|PA
Dickinson State University|ND
Diesel Driving Academy|LA
Diesel Truck Driver Training School|WI
DigiPen Institute of Technology|WA
Digital Film Academy|NY
Digital Media Arts College|FL
Dillard University|LA
Diman Regional Technical Institute|MA
Dine College|AZ
Discovery Diving Company|NC
Divers Academy International|NJ
Divers Institute of Technology|WA
Diversified Vocational College - Los Angeles|CA
Divine Word College|IA
Dixie Applied Technology College|UT
Dixie State College of Utah|UT
D'Mart Institute|PR
D'Mart Institute - Corozal|PR
D'Mart Institute - Vega Alta|PR
Doane College|NE
Dodge City Community College|KS
Dominican College of Blauvelt|NY
Dominican House of Studies|DC
Dominican School of Philosophy and Theology|CA
Dominican University|IL
Dominican University of California|CA
Dominion College|WA
Don Adams Corporation, The Dale Carnegie Training|IL
Dongguk University - Los Angeles|CA
Donnelly College|KS
Dordt College|IA
Dorsey School of Business|MI
Douglas Education Center|PA
Douglas J Aveda Institute|MI
Douglas J Aveda Institute Chicago|IL
Dowling College|NY
Downey Adult School|CA
Dragon Rises College of Oriental Medicine|FL
Drake College of Business|NJ
Drake University|IA
Drew University|NJ
Drexel University|PA
Drury University|MO
Dryades YMCA School of Commerce|LA
DuBois Business College|PA
duCret School of Arts|NJ
Duke University|NC
Duluth Business University|MN
Dunlap-Stone University|AZ
Dunwoody College of Technology|MN
Duquesne University|PA
Durham Technical Community College|NC
Dutchess Community College|NY
Duwayne E. Keller & Associates, Inc. Dale Carnegie Training|FL
Dyersburg State Community College|TN
D'Youville College|NY
E. J. Taylor Corporation Dale Carnegie Training|NC
E.B. Cape Center - Corporate University|TX
Eagle Gate College|UT
Earle C. Clements Job Corps Academy|KY
Earlham College|IN
East Arkansas Community College|AR
East Carolina University|NC
East Central College|MO
East Central Community College|MS
East Central University|OK
East Georgia State College|GA
East Los Angeles College|CA
East Mississippi Community College|MS
East San Gabriel Valley Regional Occupational Program|CA
East Stroudsburg University of Pennsylvania|PA
East Tennessee State University|TN
East Texas Baptist University|TX
East Valley Institute of Technology|AZ
East West College of Natural Medicine|FL
Eastern Arizona College|AZ
Eastern Center for Arts and Technology|PA
Eastern College of Health Vocations - Little Rock|AR
Eastern Connecticut State University|CT
Eastern Florida State College|FL
Eastern Gateway Community College|OH
Eastern Idaho Technical College|ID
Eastern Illinois University|IL
Eastern International College|NJ
Eastern International College - Belleville|NJ
Eastern Iowa Community College District|IA
Eastern Kentucky University|KY
Eastern Maine Community College|ME
Eastern Mennonite University|VA
Eastern Michigan University|MI
Eastern Nazarene College|MA
Eastern New Mexico University|NM
Eastern New Mexico University - Roswell|NM
Eastern Oklahoma County Technology Center|OK
Eastern Oklahoma State College|OK
Eastern Oregon University|OR
Eastern School of Acupuncture and Traditional Medicine|NJ
Eastern Shore Community College|VA
Eastern University|PA
Eastern Virginia Medical School|VA
Eastern Washington University|WA
Eastern West Virginia Community and Technical College|WV
Eastern Wyoming College|WY
Eastfield College|TX
Eastland Fairfield Career and Technical Schools|OH
East-West College of the Healing Arts|OR
East-West Healing Arts Institute|WI
East-West University|IL
Eastwick College|NJ
Eastwick College - Hackensack|NJ
EC Boston|MA
EC San Diego|CA
Ecclesia College|AR
Eckerd College|FL
ECPI Technical College|VA
ECPI Technical College - Glen Allen|VA
ECPI University|VA
Ecumenical Theological Seminary|MI
Eden Theological Seminary|MO
Edgecombe Community College|NC
Edgewood College|WI
Edgewood College of California|CA
EDIC College|PR
Edinboro University of Pennsylvania|PA
Edison State College|FL
Edison State Community College|OH
Edmonds Community College|WA
EDP School of Computer Programming|NY
Education and Technology Institute|PA
Educational and Cultural Interactions|OK
Educational Technical College - Bayamon|PR
Educational Technical College - Coamo|PR
Educational Technical College - San Sebastian|PR
EduMed Partners|TN
Edutek College|OH
Edward Via Virginia College of Osteopathic Medicine|VA
Edward Waters College|FL
EF International Schools of English|MA
EF International Schools of English in Los Angeles|CA
EINE Inc|MA
El Camino College|CA
El Centro College|TX
El Paso Community College|TX
Electrical Training Center, Inc.|NY
Electronic Data Processing College of Puerto Rico|PR
Elegance International|CA
Elgin Community College|IL
Elite Language Institute|TX
Elite Welding Academy|OH
Elizabeth City State University|NC
Elizabethtown College|PA
Elizabethtown Community and Technical College|KY
Elmhurst College|IL
Elmira Business Institute|NY
Elmira College|NY
Elon University|NC
ELS Language Centers|NJ
Embassy CES|CA
Embassy CES|NY
Embassy CES|WA
Embry-Riddle Aeronautical University - Daytona Beach|FL
Emergency Training Services, Inc.|CA
Emerging Technologies Institute|NY
Emerson College|MA
Emily Griffith Technical College|CO
Emmanuel Christian Seminary|TN
Emmanuel College|GA
Emmanuel College|MA
Emmaus Bible College|IA
Emory and Henry College|VA
Emory University|GA
Emperor's College of Traditional Oriental Medicine|CA
Empire College|CA
Employment Solutions - College for Technical Education|KY
Emporia State University|KS
Endicott College|MA
English for Internationals, Inc.|GA
English House|MD
English Language Center|CA
English Language Center|OK
English Language Center, Inc.|MA
English Language Institute|CA
English Studies Institute|CA
Enterprise State Community College|AL
Environmental Technical Institute|IL
EnVisionary 1-Care|NC
EPIC Bible College|CA
Episcopal Divinity School|MA
Eric Fisher Academy|KS
Erie 1 BOCES-Practical Nursing Program|NY
Erie Business Center|PA
Erie Community College|NY
Erie Institute of Technology Inc|PA
Erikson Institute|IL
Erskine College|SC
Escuela de Artes Plasticas de Puerto Rico|PR
Escuela de Peritos Electricitas de Isabela|PR
Escuela Hotelera de San Juan|PR
Escuela Hotelera de San Juan - Maaguez|PR
Escuela Tecnica De Electricidad|PR
Essex County College|NJ
Esthetics Institute at Concord Academy|NH
Eternity Bible College|CA
ETI Technical College|OH
EUCON International College|MP
Eureka College|IL
Evangel University|MO
Evangelia University|CA
Evangelical Seminary of Puerto Rico|PR
Evangelical Theological Seminary|PA
Everblue Training Institute|NC
Everest College - Alhambra|CA
Everest College - Anaheim|CA
Everest College - Bremerton|WA
Everest College - Burr Ridge|IL
Everest College - Chicago|IL
Everest College - City of Industry|CA
Everest College - Colorado Springs|CO
Everest College - Gardena|CA
Everest College - Henderson|NV
Everest College - Los Angeles|CA
Everest College - Lynnwood|WA
Everest College - Newport News|VA
Everest College - North Aurora|IL
Everest College - Ontario|CA
Everest College - Phoenix|AZ
Everest College - Portland|OR
Everest College - Renton|WA
Everest College - Reseda|CA
Everest College - Salt Lake City|UT
Everest College - San Bernardino|CA
Everest College - Seattle|WA
Everest College - Skokie|IL
Everest College - Springfield|MO
Everest College - Thornton|CO
Everest College - Torrance|CA
Everest Institute - Austin|TX
Everest Institute - Brighton|MA
Everest Institute - Chelsea|MA
Everest Institute - Cross Lanes|WV
Everest Institute - Dearborn|MI
Everest Institute - Detroit|MI
Everest Institute - Eagan|MN
Everest Institute - Gahanna|OH
Everest Institute - Grand Rapids|MI
Everest Institute - Hayward|CA
Everest Institute - Houston|TX
Everest Institute - Pittsburgh|PA
Everest Institute - Rochester|NY
Everest Institute - San Antonio|TX
Everest Institute - San Francisco|CA
Everest Institute - San Jose|CA
Everest Institute - South Plainfield|NJ
Everest Institute - Southfield|MI
Everest University - North Orlando|FL
Everest University - Pinellas|FL
Everett Community College|WA
Everglades University|FL
Everglades University - Orlando|FL
Everglades University - Sarasota|FL
Evergreen Valley College|CA
Excel Learning Center|TX
Excel Learning Center - San Antonio North|TX
Excelsior College|NY
Ex'pression College for Digital Arts|CA
Fairfield University|CT
Fairleigh Dickinson University|NJ
Fairmont State University|WV
Fairview Academy|OH
Faith Baptist Bible College and Theological Seminary|IA
Faith Evangelical College & Seminary|WA
Faith Theological Seminary|MD
Family of Faith College|OK
Faris Computer School|TX
Fashion Design Training Center|CA
Fashion Institute of Design and Merchandising|CA
Fashion Institute of Technology|NY
Faulkner University|AL
Faxton-St Luke's Healthcare School of Radiologic Technology|NY
Fayette County Area Vocational Technical School of Practical Nursing|PA
Fayette Institute of Technology|WV
Fayetteville State University|NC
Fayetteville Technical Community College|NC
Feather River College|CA
Federal Correctional Institution Education Department of F.C.I.|FL
Federal Medical Center - Lexington|KY
Federico Career Colleges of Bakersfield, Inc.|CA
Felbry School of Nursing|OH
Felician College|NJ
Ferris State University|MI
Ferrum College|VA
Fielding Graduate University|CA
Fine Mortuary College|MA
Finger Lakes Community College|NY
Finishing Trades Institute of the Upper Midwest|MN
Finlandia University|MI
First Coast Technical College|FL
First Institute Inc|IL
First Institute Inc - Aurora|IL
First Response Medical Training|TX
Fisher College|MA
Fisk University|TN
Fitchburg State University|MA
Five Branches University:  Graduate School of Traditional Chinese Medicine - San Jose, CA|CA
Five Branches University:  Graduate School of Traditional Chinese Medicine - Santa Cruz, CA|CA
Five Towns College|NY
Flagler College|FL
Flagler Technical Center|FL
Flathead Valley Community College|MT
Flatwoods Civilian Conservation Center|VA
FlightSafety Academy|FL
Flint Hills Technical College|KS
Flint River Technical College|GA
Florence School District #1 Montessori Teacher Program (AMS)|SC
Florence-Darlington Technical College|SC
Florida Academy|FL
Florida Agricultural and Mechanical University|FL
Florida Atlantic University|FL
Florida Career College - Miami|FL
Florida Center for Theological Studies|FL
Florida Christian College|FL
Florida Coastal School of Law|FL
Florida College|FL
Florida College of Integrative Medicine|FL
Florida College of Natural Health|FL
Florida Education Center - Lauderhill|FL
Florida Education Institute|FL
Florida Gateway College|FL
Florida Gulf Coast University|FL
Florida Institute of Animal Arts|FL
Florida Institute of Montessori Studies (AMS)|FL
Florida Institute of Recording, Sound and Technology, Inc.|FL
Florida Institute of Technology-Melbourne|FL
Florida Institute of Ultrasound|FL
Florida International Training Institute|FL
Florida International University|FL
Florida Keys Community College|FL
Florida Medical Training Institute - Melbourne|FL
Florida Memorial University|FL
Florida National University|FL
Florida School of Traditional Midwifery|FL
Florida Southern College|FL
Florida State College at Jacksonville|FL
Florida State University|FL
Florida Technical College|FL
Florida Vocational Institute|FL
FLS International - Pasadena|CA
FMI Career School|FL
Focus Personal Training Institute|NY
Focus: HOPE Information Technologies Center|MI
Folkner Training Associates, Inc. Dale Carnegie Training|FL
Folsom Lake College|CA
Fond du Lac Tribal and Community College|MN
Fontbonne University|MO
Foothill College|CA
Forbes Road Career and Technology Center|PA
Fordham University|NY
Forest Institute of Professional Psychology|MO
Forrest College|SC
Forsyth Technical Community College|NC
Fort Belknap College|MT
Fort Berthold Community College|ND
Fort Hays State University|KS
Fort Lewis College|CO
Fort Myers Institute of Technology|FL
Fort Peck Community College|MT
Fort Scott Community College|KS
Fort Valley State University|GA
Fortis College|TX
Fortis College - Centerville|OH
Fortis College - Foley|AL
Fortis College - Indianapolis|IN
Fortis College - Largo|FL
Fortis College - Mobile|AL
Fortis College - Norfolk|VA
Fortis College - Orange Park|FL
Fortis College - Phoenix|AZ
Fortis College - Salt Lake City|UT
Fortis College- Winter Park|FL
Fortis Institute - Cookeville|TN
Fortis Institute - Erie|PA
Fortis Institute - Forty Fort|PA
Fortis Institute - Mulberry|FL
Fortis Institute - Scranton|PA
Fountainhead College of Technology|TN
Fountainhead Montessori Adult Education (AMS)|CA
Four-D College - Colton|CA
Fox College Inc|IL
Fox Valley Technical College|WI
Framingham State University|MA
Francis Marion University|SC
Francis Tuttle Technology Center|OK
Franciscan School of Theology|CA
Franciscan University of Steubenville|OH
Frank Lloyd Wright School of Architecture|AZ
Frank Phillips College|TX
Franklin Academy|TN
Franklin and Marshall College|PA
Franklin Career Colleges, Inc. - Inglewood|CA
Franklin Career Colleges, Inc. - Ontario|CA
Franklin Career Colleges, Inc. - Van Nuys|CA
Franklin Career Institute|NY
Franklin College|IN
Franklin College of Court Reporting|LA
Franklin Pierce Law Center|NH
Franklin Pierce University|NH
Franklin Technology Center|MO
Franklin University|OH
Franklin W. Olin College of Engineering|MA
Fred W Eberle Technical Center|WV
Frederick Community College|MD
Freed-Hardeman University|TN
Fremont College|CA
Fremont College - Cerritos|CA
Fresno City College|CA
Fresno Pacific University|CA
Friends University|KS
Front Range Community College|CO
Frontier Nursing University|KY
Frostburg State University|MD
Full Sail University|FL
Fuller Theological Seminary|CA
Fullerton College|CA
Fulton-Montgomery Community College|NY
Furman University|SC
Futura Career Institute|FL
Future Generations Graduate School|WV
Future Tech Institute|FL
G. Mitchell Hartman & Associates, Inc. Dale Carnegie Training|NJ
Gadsden Business College|AL
Gadsden State Community College|AL
Gadsden Technical Institute|FL
Gainesville State College|GA
Galaxy Medical College|CA
Galen College of Medical and Dental Assistants|CA
Galen College of Nursing|KY
Gallaudet University|DC
Gallipolis Career College|OH
Galveston College|TX
Gannon University|PA
Garden City Community College|KS
Garden State Science and Technology Institute|NJ
Gardner-Webb University|NC
Garrett College|MD
Garrett-Evangelical Theological Seminary|IL
Gary Manuel Aveda Institute|WA
Gaston College|NC
Gateway Community and Technical College|KY
Gateway Community College|CT
Gateway Technical College|WI
Gavilan College|CA
GDS Institute|CA
GECAC Training Institute|PA
Gem City College|IL
Gemini School of Visual Arts & Communication|TX
Gemological Institute of America|CA
Gemological Institute of America-Los Angeles|CA
Gemological Institute of America-New York|NY
Genesee Community College|NY
Genesis Career College|TN
Genesis Career College - Cookeville|TN
Geneva College|PA
George C Wallace Community College - Dothan|AL
George Corley Wallace State Community College - Selma|AL
George Fox University|OR
George Mason University|VA
George T Baker Aviation School|FL
George W. Truett Theological Seminary of Baylor University|TX
George Washington University|DC
Georgetown College|KY
Georgetown University|DC
Georgia Aviation & Technical College|GA
Georgia Career Institute|GA
Georgia Christian University|GA
Georgia College and State University|GA
Georgia Driving Academy|GA
Georgia Gwinnett College|GA
Georgia Health Sciences University|GA
Georgia Highlands College|GA
Georgia Institute of Technology - Main Campus|GA
Georgia Medical Institute|GA
Georgia Medical Institute-Dekalb|GA
Georgia Military College-Milledgeville Campus|GA
Georgia Northwestern Technical College - Floyd County Campus|GA
Georgia Perimeter College|GA
Georgia Piedmont Technical College|GA
Georgia Regents University|GA
Georgia Southern University|GA
Georgia Southwestern State University|GA
Georgia State University|GA
Georgian Court University|NJ
GEOS English Academy|NY
GEOS Language Academy|NY
Germanna Community College|VA
Gettysburg College|PA
Glen Oaks Community College|MI
Glendale Career College|CA
Glendale Community College|CA
Glenville State College|WV
Global Health College|VA
Global Institute|PR
Global Language Institute at College of St. Scholastica|MN
Global University|MO
Global Village|HI
Globe Institute of Technology|NY
Globe University|MN
Globelle Technical Institute|PR
Gloria Francis School of Make-Up Artistry|NY
Gloucester County College|NJ
Gnomon School of Visual Effects|CA
Goddard College|VT
God's Bible School and College|OH
Gogebic Community College|MI
Golden Gate Baptist Theological Seminary|CA
Golden Gate Language School, Inc.|CA
Golden Gate University-San Francisco|CA
Golden State College|AL
Golden State College of Court Reporting and Captioning|CA
Golden West College|CA
Goldey-Beacom College|DE
Goldfarb School of Nursing at Barnes-Jewish College|MO
Golf Academy of America|CA
Golf Academy of America|HI
Gonzaga University|WA
Good Careers Academy|TX
Good Samaritan College of Nursing and Health Science|OH
Good Samaritan Hospital|IN
Goodwin College|CT
Gordon College|MA
Gordon Cooper Technology Center|OK
Gordon State College|GA
Gordon-Conwell Theological Seminary|MA
Goshen College|IN
Goucher College|MD
Gould?s Academy|TN
Governors State University|IL
Grace Bible College|MI
Grace College and Seminary|IN
Grace College of Divinity|NC
Grace Communion Seminary|CA
Grace Mission University|CA
Grace School of Theology|TX
Grace University|NE
Graceland University|IA
Graduate Institute of Applied Linguistics|TX
Graduate School USA|DC
Graduate Theological Union|CA
Grady Health System Professional Schools|GA
Grambling State University|LA
Grand Canyon University|AZ
Grand Rapids Community College|MI
Grand River Technical School|MO
Grand Valley State University|MI
Grand View University|IA
Granite State College|NH
Grantham University|MO
Gratz College|PA
Grays Harbor College|WA
Grayson College|TX
Great Basin College|NV
Great Bay Community College|NH
Great Lakes Christian College|MI
Great Lakes Institute of Technology|PA
Great Lakes Truck Driving School|OH
Great Plains Technology Center|OK
Greater Altoona Career and Technology Center|PA
Greater Cincinnati Center for Montessori Education|KY
Greater Johnstown Career and Technology Center|PA
Greater Lawrence Technical School|MA
Greater Southern Tier BOCES|NY
Greater West Town Training Partnership|IL
Green Country Technology Center|OK
Green Mountain College|VT
Green River Community College|WA
Greenfield Community College|MA
Greensboro College|NC
Greenville College|IL
Greenville Technical College|SC
Gretna Career College|LA
Griffin Technical College|GA
Griggs International Academy|MD
Grinnell College|IA
Grossmont College|CA
Grove City College|PA
Guam Community College|GU
Guardian College|ID
Guilford College|NC
Guilford Technical Community College|NC
Gulf Coast State College|FL
Gulf Coast Trades Center|TX
Gulfport Job Corps Center|MS
Gupton Jones College of Funeral Service|GA
Gurnick Academy of Medical Arts - San Mateo|CA
Gustavus Adolphus College|MN
Gutenberg College|OR
Guthrie Job Corps Center|OK
Gwinnett College|GA
Gwinnett College - Sandy Springs|GA
Gwinnett Technical College|GA
Gwynedd Mercy College|PA
H Councill Trenholm State Technical College|AL
Hacienda La Puente Unified School District-Adult Education|CA
Hadley School for the Blind|IL
Hagerstown Community College|MD
Halifax Community College|NC
Hallmark College of Aeronautics|TX
Hallmark College of Technology|TX
Hallmark Institute of Photography|MA
Hamilton College|NY
Hamilton Technical College|IA
Hamline University|MN
Hampden-Sydney College|VA
Hampshire College|MA
Hampton University|VA
Hamrick School|OH
Han University of Traditional Medicine|AZ
Handley and Associates|MI
Hands on Therapy|TX
Hanes & Associates, Inc. Dale Carnegie Training|IN
Hannibal-LaGrange College|MO
Hanover College|IN
Harbor Career College|CA
Harcum College|PA
Harding University|AR
Hardin-Simmons University|TX
Harford Community College|MD
Harpers Ferry Job Corps Civilian Conservation Center|WV
Harrington College of Design|IL
Harris School of Business - Cherry Hill|NJ
Harris School of Business - Dover|DE
Harris School of Business - Voorhees|NJ
Harris School of Business fka The Harris School|DE
Harrisburg Area Community College - Harrisburg|PA
Harrisburg University of Science and Technology|PA
Harrison Career Institute - Baltimore|MD
Harrison Career Institute - Reading|PA
Harrison Career Institute - South Orange|NJ
Harrison Career Institute - Washington, DC|DC
Harrison College - Indianapolis|IN
Harrison College - Muncie|IN
Harrison Middleton University|AZ
Harris-Stowe State University|MO
Hartford Conservatory|CT
Hartford Seminary|CT
Hartnell College|CA
Hartwick College|NY
Harvard University|MA
Harvey Mudd College|CA
Haskell Indian Nations University|KS
Hastings College|NE
Haverford College|PA
Hawaii College of Oriental Medicine|HI
Hawaii Community College|HI
Hawaii Medical College|HI
Hawaii Pacific University|HI
Hawai'i Theological Seminary|HI
Hawaii Tokai International College|HI
Hawkeye Community College|IA
Haywood Community College|NC
Hazard Community and Technical College|KY
Hazelden Graduate School of Addiction Studies|MN
HDS Truck Driving Institute|AZ
Headlines Academy, Inc.|SD
Heald College - Central Administrative Office|CA
Healing Arts Center|MO
Healing Arts Institute|OH
Healing Arts Institute - Fort Collins|CO
Healing Hands School of Holistic Health|CA
Healing Oasis Wellness Center|WI
Healing Touch Career College|MS
Health and Style Institute, LLC|NC
Health Career College|CA
Health Career Institute - Lake Worth, Florida|FL
Health Careers Center of Mercer County Technical Schools|NJ
Health Opportunity Technical Center, Inc.|FL
Health Works Institute|MT
Healthcare Preparatory Institute|NV
Healthcare Training Institute - Kenner|LA
Healthcare Training Institute - Union|NJ
Heartland Christian College|MO
Heartland Community College|IL
Hebrew College|MA
Hebrew Theological College|IL
Hebrew Union College - Jewish Institute of Religion - New York|NY
Heidelberg University|OH
Helene Fuld College of Nursing|NY
Hellenic College|MA
Helms College, A Subsidiary of Goodwill Industries|GA
Henderson Community College|KY
Henderson State University|AR
Hendrix College|AR
Henley-Putnam University|CA
Hennepin Technical College|MN
Henry Caro Noncommissioned Officer Academy|GA
Henry Ford Community College|MI
Heritage Bible College|NC
Heritage Christian University|AL
Heritage College - Denver|CO
Heritage College - Oklahoma City|OK
Heritage Institute|VA
Heritage Institute - Fort Myers|FL
Heritage Institute - Jacksonville|FL
Heritage University|WA
Herkimer County Community College|NY
Herzing University|WI
Hesser College|NH
Hesston College|KS
Hibbing Community College|MN
Hickey College|MO
High Desert Medical College|CA
High Plains Technology Center|OK
High Point University|NC
High Tech High Graduate School of Education|CA
Highland Community College|IL
Highland Community College|KS
Highline Community College|WA
Hilbert College|NY
Hill College|TX
Hillsborough Community College|FL
Hillsdale College|MI
Hillsdale Free Will Baptist College|OK
Hillyard Technical Center|MO
Hinds Community College|MS
Hiram College|OH
Hispanic American College|PR
Hiwassee College|TN
Hobart & William Smith Colleges|NY
Hobart Institute of Welding Technology|OH
Hobe Sound Bible College|FL
Hocking College|OH
Hodges University|FL
Hofstra University|NY
Hollins University|VA
Hollywood College|CA
Holmes Community College|MS
Holmes Institute|CO
Holy Apostles College and Seminary|CT
Holy Cross College|IN
Holy Family University|PA
Holy Names University|CA
Holy Spirit College|GA
Holy Trinity Orthodox Seminary|NY
Holyoke Community College|MA
Homestead Schools, Inc.|CA
Hondros College|OH
Honolulu Community College|HI
Hood College|MD
Hood Theological Seminary|NC
Hope College|MI
Hope International University|CA
Hope Montessori Educational Institute|MO
Hopkinsville Community College|KY
Horizon University|CA
Horry-Georgetown Technical College|SC
Hostos Community College of the City University of New York|NY
Hot Rod Institute|SD
Houghton College|NY
Housatonic Community College|CT
House of Tutors Learning Centers USA|TX
Houston Baptist University|TX
Houston Community College System|TX
Houston Graduate School of Theology|TX
Houston Montessori Center(AMS)|TX
Houston Training Schools|TX
Howard College|TX
Howard Community College|MD
Howard Payne University|TX
Howard University|DC
Howard, Mohorn & Associates Dale Carnegie Training|AR
Hudson County Community College|NJ
Hudson Valley Community College|NY
Huertas College|PR
Hult International Business School|MA
Humacao Community College|PR
Humboldt State University|CA
HUMINT Training - Joint Center of Excellence|AZ
Humphreys College - Stockton|CA
Hunter Business School|NY
Hunter College of the City University of New York|NY
Huntingdon College|AL
Huntington College of Health Sciences|TN
Huntington Junior College|WV
Huntington University|IN
Huntsville Bible College|AL
Hussian School of Art|PA
Husson University|ME
Huston-Tillotson University|TX
Hutchinson Community College|KS
HVAC Technical Institute|IL
HyperLearning Technologies|VA
Hypnosis Motivation Institute|CA
IBMC College - Fort Collins|CO
ICC Technical Institute|TX
ICDC College|CA
ICDC College - Huntington Park|CA
ICDC College - Lawndale|CA
ICDC College - Van Nuys|CA
ICPR Junior College|PR
Idaho State University|ID
IGlobal University|VA
IITR Truck Driving School|OR
IITR Truck Driving School - Clackamas|OR
Iliff School of Theology|CO
Ilisagvik College|AK
Illinois CareerPath Institute|IL
Illinois Center for Broadcasting|IL
Illinois Central College|IL
Illinois College|IL
Illinois College of Optometry|IL
Illinois Eastern Community Colleges|IL
Illinois Institute of Technology|IL
Illinois School of Health Careers - Chicago|IL
Illinois State University|IL
Illinois Valley Community College|IL
Illinois Wesleyan University|IL
ILSC San Francisco|CA
Imagine - Paul Mitchell Partner School|AR
Immaculata University|PA
Immokalee Technical Center|FL
Imperial Valley College|CA
Impetus Systems and Careers|NJ
I'Mproving, LLC - Dale Carnegie Training|HI
Independence Community College|KS
Independence University|UT
Indian Capital Technology Center - Muskogee|OK
Indian Capital Technology Center - Sallisaw|OK
Indian Capital Technology Center - Stilwell|OK
Indian Capital Technology Center - Tahlequah|OK
Indian Hills Community College|IA
Indian River State College|FL
Indiana County Technology Center|PA
Indiana Institute of Technology|IN
Indiana State University|IN
Indiana University Bloomington|IN
Indiana University East|IN
Indiana University Kokomo|IN
Indiana University Northwest|IN
Indiana University of Pennsylvania|PA
Indiana University South Bend|IN
Indiana University Southeast|IN
Indiana University-Purdue University Fort Wayne|IN
Indiana University-Purdue University Indianapolis|IN
Indiana Wesleyan University|IN
Industrial Management & Training Institute|CT
Industrial Management & Training Institute|NY
Industrial Technical College|PR
Infinity Career College|MS
Infinity College|LA
Infotech Career College|CA
Innovations Design Academy|IL
Innovative Corporate Solutions|CA
InovaTech, Inc.|NC
INSTE Bible College|IA
Institucion Chaviano de Mayaguez|PR
